No,TIME,Pos_PSI@Body1,Vel_RZ@Body1,Acc_RZ@Body1,TZ_RSDA@RotationalSpring1,Pos1_Relative@RevJoint1
1,0,0,0,-16.907963,0.015707963,0
2,0.01,-0.048379033,-0.16876838,-16.848525,16.892555,-0.048379033
3,0.02,-0.1932548,-0.33682922,-16.785777,33.698664,-0.1932548
4,0.03,-0.43417919,-0.50406878,-16.712884,50.422661,-0.43417919
5,0.04,-0.77063585,-0.67036767,-16.630767,67.05261,-0.77063585
6,0.05,-1.2019236,-0.83550164,-16.55252,83.566082,-1.2019236
7,0.06,-1.727475,-0.99952095,-16.452128,99.968104,-1.727475
8,0.07,-2.346614,-1.1622719,-16.334105,116.24331,-2.346614
9,0.08,-3.0585741,-1.3236066,-16.200351,132.3769,-3.0585741
10,0.09,-3.862502,-1.483376,-16.051406,148.35398,-3.862502
11,0.1,-4.7574563,-1.6414253,-15.887089,164.15906,-4.7574563
12,0.11,-5.742404,-1.7975921,-15.706821,179.77592,-5.742404
13,0.12,-6.8162162,-1.9517049,-15.50979,195.18738,-6.8162162
14,0.13,-7.9776626,-2.1035817,-15.295049,210.37527,-7.9776626
15,0.14,-9.2254055,-2.2530299,-15.061565,225.32031,-9.2254055
16,0.15,-10.557993,-2.3998459,-14.808254,240.00214,-10.557993
17,0.16,-11.973855,-2.5438148,-14.534012,254.39928,-11.973855
18,0.17,-13.471293,-2.6847107,-14.237733,268.48913,-13.471293
19,0.18,-15.048477,-2.8222971,-13.918336,282.24804,-15.048477
20,0.19,-16.703439,-2.9563272,-13.574785,295.65134,-16.703439
21,0.2,-18.434066,-3.0865449,-13.206107,308.67341,-18.434066
22,0.21,-20.238097,-3.2126857,-12.811423,321.28781,-20.238097
23,0.22,-22.113118,-3.334478,-12.389962,333.46737,-22.113118
24,0.23,-24.056556,-3.4516445,-11.941088,345.18436,-24.056556
25,0.24,-26.065679,-3.5639039,-11.464322,356.41065,-26.065679
26,0.25,-28.137595,-3.6709727,-10.95936,367.11789,-28.137595
27,0.26,-30.269249,-3.7725673,-10.426098,377.27773,-30.269249
28,0.27,-32.457422,-3.8684065,-9.8646432,386.86202,-32.457422
29,0.28,-34.69874,-3.9582133,-9.2753358,395.8431,-34.69874
30,0.29,-36.989668,-4.041718,-8.6587579,404.19397,-36.989668
31,0.3,-39.326523,-4.1186604,-8.0157445,411.88861,-39.326523
32,0.31,-41.705476,-4.1887925,-7.3473886,418.90224,-41.705476
33,0.32,-44.122559,-4.2518812,-6.655043,425.21153,-44.122559
34,0.33,-46.573678,-4.3077107,-5.940317,430.79491,-46.573678
35,0.34,-49.054619,-4.3560852,-5.2050691,435.63279,-49.054619
36,0.35,-51.561065,-4.3968308,-4.4513948,439.70778,-51.561065
37,0.36,-54.088605,-4.4297979,-3.6816094,443.00494,-54.088605
38,0.37,-56.632751,-4.4548633,-2.8982264,445.51192,-56.632751
