No,TIME,Pos_PSI@Body1,Vel_RZ@Body1,Acc_RZ@Body1,TZ_RSDA@RotationalSpring1,Pos1_Relative@RevJoint1
1,0,0,0,-16.882876,7.2909907,0
2,0.01,-0.048307244,-0.16851793,-16.823514,24.146697,-0.048307244
3,0.02,-0.19296795,-0.33632908,-16.760827,40.939532,-0.19296795
4,0.03,-0.43353443,-0.50331962,-16.68799,57.658074,-0.43353443
5,0.04,-0.76949069,-0.66937009,-16.605923,74.290337,-0.76949069
6,0.05,-1.2001359,-0.83425617,-16.527713,90.813832,-1.2001359
7,0.06,-1.7249029,-0.99802801,-16.42736,107.23353,-1.7249029
8,0.07,-2.3431157,-1.1605319,-16.309378,123.534,-2.3431157
9,0.08,-3.0540083,-1.32162,-16.175666,139.7004,-3.0540083
10,0.09,-3.8567275,-1.4811431,-16.026765,155.71774,-3.8567275
11,0.1,-4.7503321,-1.6389467,-15.862496,171.57049,-4.7503321
12,0.11,-5.7337896,-1.7948685,-15.682284,187.24234,-5.7337896
13,0.12,-6.8059714,-1.9487369,-15.485321,202.71604,-6.8059714
14,0.13,-7.9656477,-2.1003702,-15.270663,217.97332,-7.9656477
15,0.14,-9.2114813,-2.2495761,-15.03728,232.99484,-9.2114813
16,0.15,-10.542021,-2.3961511,-14.784094,247.76012,-10.542021
17,0.16,-11.955698,-2.5398807,-14.510004,262.24761,-11.955698
18,0.17,-13.450814,-2.6805393,-14.213909,276.43459,-13.450814
19,0.18,-15.025541,-2.8178908,-13.894732,290.2973,-15.025541
20,0.19,-16.677912,-2.9516887,-13.551439,303.81095,-16.677912
21,0.2,-18.405816,-3.0816775,-13.183064,316.94981,-18.405816
22,0.21,-20.206995,-3.2075931,-12.788728,329.68729,-20.206995
23,0.22,-22.079035,-3.3291644,-12.367665,341.99608,-22.079035
24,0.23,-24.019367,-3.4461147,-11.919242,353.84829,-24.019367
25,0.24,-26.025262,-3.5581632,-11.442979,365.21564,-26.025262
26,0.25,-28.093832,-3.6650269,-10.938576,376.06959,-28.093832
27,0.26,-30.222022,-3.766423,-10.405927,386.3816,-30.222022
28,0.27,-32.406621,-3.8620704,-9.8451408,396.12333,-32.406621
