No,TIME,Pos_PSI@Body1,Vel_RZ@Body1,Acc_RZ@Body1,TZ_RSDA@RotationalSpring1,Pos1_Relative@RevJoint1
1,0,0,1,0,72809.907,0
2,0.01,0.5729578,1,-4.7349803e-18,72345.748,0.5729578
3,0.02,1.1459156,1,4.727083e-18,71881.589,1.1459156
4,0.03,1.7188734,1,-3.6381669e-17,71417.43,1.7188734
5,0.04,2.2918312,1,-3.6381669e-17,70953.271,2.2918312
6,0.05,2.864789,1,-3.6381669e-17,70489.112,2.864789
7,0.06,3.4377468,1,-3.6381669e-17,70024.954,3.4377468
8,0.07,4.0107046,1,-3.6381669e-17,69560.795,4.0107046
9,0.08,4.5836624,1,-3.6381669e-17,69096.636,4.5836624
10,0.09,5.1566202,1,-3.6381669e-17,68632.477,5.1566202
11,0.1,5.729578,1,-3.6381669e-17,68168.318,5.729578
12,0.11,6.3025357,1,-3.6381669e-17,67704.159,6.3025357
13,0.12,6.8754935,1,-3.6381669e-17,67240,6.8754935
14,0.13,7.4484513,1,-3.6381669e-17,66775.841,7.4484513
15,0.14,8.0214091,1,-3.6381669e-17,66311.683,8.0214091
16,0.15,8.5943669,1,-3.6381669e-17,65847.524,8.5943669
17,0.16,9.1673247,1,-3.6381669e-17,65383.365,9.1673247
18,0.17,9.7402825,1,-3.6381669e-17,64919.206,9.7402825
19,0.18,10.31324,1,-3.6381669e-17,64455.047,10.31324
20,0.19,10.886198,1,8.482139e-17,63990.888,10.886198
21,0.2,11.459156,1,8.482139e-17,63526.729,11.459156
22,0.21,12.032114,1,8.482139e-17,63062.57,12.032114
23,0.22,12.605071,1,8.482139e-17,62598.411,12.605071
24,0.23,13.178029,1,8.482139e-17,62134.253,13.178029
25,0.24,13.750987,1,8.482139e-17,61670.094,13.750987
26,0.25,14.323945,1,-3.6388135e-17,61205.935,14.323945
27,0.26,14.896903,1,-3.6388135e-17,60741.776,14.896903
28,0.27,15.46986,1,-3.6388135e-17,60277.617,15.46986
29,0.28,16.042818,1,-3.6388135e-17,59813.458,16.042818
30,0.29,16.615776,1,-3.6388135e-17,59349.299,16.615776
