No,TIME,Pos_PSI@Body1,Vel_RZ@Body1,Acc_RZ@Body1,TZ_RSDA@RotationalSpring1,Pos1_Relative@RevJoint1
1,0,0,1,0,7.2909897e+08,0
2,0.01,0.5729578,1,-1.6699224e-13,7.2445738e+08,0.5729578
3,0.02,1.1459156,1,-4.3620806e-15,7.1981579e+08,1.1459156
4,0.03,1.7188734,1,-5.6175306e-14,7.151742e+08,1.7188734
5,0.04,2.2918312,1,1.7419295e-13,7.1053261e+08,2.2918312
6,0.05,2.864789,1,3.795518e-14,7.0589102e+08,2.864789
7,0.06,3.4377468,1,-2.3971086e-14,7.0124944e+08,3.4377468
8,0.07,4.0107046,1,-1.1585831e-14,6.9660785e+08,4.0107046
9,0.08,4.5836624,1,-1.1585831e-14,6.9196626e+08,4.5836624
10,0.09,5.1566202,1,-1.1585831e-14,6.8732467e+08,5.1566202
11,0.1,5.729578,1,7.9942715e-16,6.8268308e+08,5.729578
12,0.11,6.3025357,1,1.3184687e-14,6.7804149e+08,6.3025357
13,0.12,6.8754935,1,1.3184687e-14,6.733999e+08,6.8754935
14,0.13,7.4484513,1,1.3184687e-14,6.6875831e+08,7.4484513
15,0.14,8.0214091,1,1.3184687e-14,6.6411673e+08,8.0214091
16,0.15,8.5943669,1,1.3184687e-14,6.5947514e+08,8.5943669
17,0.16,9.1673247,1,1.3184687e-14,6.5483355e+08,9.1673247
18,0.17,9.7402825,1,1.3184687e-14,6.5019196e+08,9.7402825
19,0.18,10.31324,1,1.3184687e-14,6.4555037e+08,10.31324
20,0.19,10.886198,1,-2.7167654e-13,6.4090878e+08,10.886198
21,0.2,11.459156,1,1.3184718e-14,6.3626719e+08,11.459156
22,0.21,12.032114,1,1.3184718e-14,6.316256e+08,12.032114
23,0.22,12.605071,1,1.3184718e-14,6.2698401e+08,12.605071
24,0.23,13.178029,1,1.3184718e-14,6.2234243e+08,13.178029
25,0.24,13.750987,1,1.3184718e-14,6.1770084e+08,13.750987
26,0.25,14.323945,1,2.5569997e-14,6.1305925e+08,14.323945
27,0.26,14.896903,1,2.5569997e-14,6.0841766e+08,14.896903
28,0.27,15.46986,1,3.7955279e-14,6.0377607e+08,15.46986
29,0.28,16.042818,1,3.7955279e-14,5.9913448e+08,16.042818
30,0.29,16.615776,1,5.0340563e-14,5.9449289e+08,16.615776
31,0.3,17.188734,1,5.0340563e-14,5.898513e+08,17.188734
32,0.31,17.761692,1,5.0340563e-14,5.8520972e+08,17.761692
33,0.32,18.334649,1,5.0340563e-14,5.8056813e+08,18.334649
34,0.33,18.907607,1,-4.9461219e-13,5.7592654e+08,18.907607
35,0.34,19.480565,1,6.2725916e-14,5.7128495e+08,19.480565
36,0.35,20.053523,1,6.2725916e-14,5.6664336e+08,20.053523
37,0.36,20.626481,1,6.2725916e-14,5.6200177e+08,20.626481
