No,TIME,Pos_PSI@Body1,Vel_RZ@Body1,Acc_RZ@Body1,TZ_RSDA@RotationalSpring1,Pos1_Relative@RevJoint1
1,0,0,1,0,1570696.3,0
2,0.01,0.5729578,1,0,1560696.3,0.5729578
3,0.02,1.1459156,1,0,1550696.3,1.1459156
4,0.03,1.7188734,1,0,1540696.3,1.7188734
5,0.04,2.2918312,1,0,1530696.3,2.2918312
6,0.05,2.864789,1,0,1520696.3,2.864789
7,0.06,3.4377468,1,0,1510696.3,3.4377468
8,0.07,4.0107046,1,0,1500696.3,4.0107046
9,0.08,4.5836624,1,0,1490696.3,4.5836624
10,0.09,5.1566202,1,1.6678152e-15,1480696.3,5.1566202
11,0.1,5.729578,1,1.6678152e-15,1470696.3,5.729578
12,0.11,6.3025357,1,1.6678152e-15,1460696.3,6.3025357
13,0.12,6.8754935,1,1.6678152e-15,1450696.3,6.8754935
14,0.13,7.4484513,1,1.6678152e-15,1440696.3,7.4484513
15,0.14,8.0214091,1,-6.2338387e-20,1430696.3,8.0214091
16,0.15,8.5943669,1,-6.2338387e-20,1420696.3,8.5943669
17,0.16,9.1673247,1,-6.2338387e-20,1410696.3,9.1673247
18,0.17,9.7402825,1,-6.2338387e-20,1400696.3,9.7402825
19,0.18,10.31324,1,-6.2338387e-20,1390696.3,10.31324
20,0.19,10.886198,1,-6.2338387e-20,1380696.3,10.886198
21,0.2,11.459156,1,-6.2338387e-20,1370696.3,11.459156
22,0.21,12.032114,1,-6.2338387e-20,1360696.3,12.032114
23,0.22,12.605071,1,-1.6680412e-15,1350696.3,12.605071
24,0.23,13.178029,1,-1.6680412e-15,1340696.3,13.178029
25,0.24,13.750987,1,-1.6680412e-15,1330696.3,13.750987
26,0.25,14.323945,1,-1.6680412e-15,1320696.3,14.323945
27,0.26,14.896903,1,-1.6680412e-15,1310696.3,14.896903
28,0.27,15.46986,1,-3.3360841e-15,1300696.3,15.46986
29,0.28,16.042818,1,-3.3360841e-15,1290696.3,16.042818
30,0.29,16.615776,1,-3.3360841e-15,1280696.3,16.615776
31,0.3,17.188734,1,-3.3360841e-15,1270696.3,17.188734
32,0.31,17.761692,1,-3.3360841e-15,1260696.3,17.761692
33,0.32,18.334649,1,-3.3360841e-15,1250696.3,18.334649
34,0.33,18.907607,1,-3.3360841e-15,1240696.3,18.907607
35,0.34,19.480565,1,-3.3360841e-15,1230696.3,19.480565
36,0.35,20.053523,1,-3.3360841e-15,1220696.3,20.053523
37,0.36,20.626481,1,-5.004243e-15,1210696.3,20.626481
38,0.37,21.199438,1,-5.004243e-15,1200696.3,21.199438
39,0.38,21.772396,1,-5.004243e-15,1190696.3,21.772396
40,0.39,22.345354,1,-5.004243e-15,1180696.3,22.345354
41,0.4,22.918312,1,-5.004243e-15,1170696.3,22.918312
42,0.41,23.49127,1,-5.004243e-15,1160696.3,23.49127
43,0.42,24.064227,1,-3.3360065e-15,1150696.3,24.064227
44,0.43,24.637185,1,-3.3360065e-15,1140696.3,24.637185
45,0.44,25.210143,1,-3.3360065e-15,1130696.3,25.210143
46,0.45,25.783101,1,-3.3360065e-15,1120696.3,25.783101
47,0.46,26.356059,1,-3.3360065e-15,1110696.3,26.356059
48,0.47,26.929016,1,-5.0043075e-15,1100696.3,26.929016
49,0.48,27.501974,1,-5.0043075e-15,1090696.3,27.501974
50,0.49,28.074932,1,-5.0043075e-15,1080696.3,28.074932
51,0.5,28.64789,1,-5.0043075e-15,1070696.3,28.64789
52,0.51,29.220848,1,-6.6726599e-15,1060696.3,29.220848
53,0.52,29.793805,1,-6.6726599e-15,1050696.3,29.793805
54,0.53,30.366763,1,-6.6726599e-15,1040696.3,30.366763
55,0.54,30.939721,1,-6.6726599e-15,1030696.3,30.939721
56,0.55,31.512679,1,-8.3410634e-15,1020696.3,31.512679
57,0.56,32.085637,1,-8.3410634e-15,1010696.3,32.085637
58,0.57,32.658594,1,-1.0009492e-14,1000696.3,32.658594
59,0.58,33.231552,1,-1.0009492e-14,990696.33,33.231552
60,0.59,33.80451,1,-1.0009492e-14,980696.33,33.80451
61,0.6,34.377468,1,-1.1677959e-14,970696.33,34.377468
62,0.61,34.950426,1,-1.3346439e-14,960696.33,34.950426
63,0.62,35.523383,1,-1.3346439e-14,950696.33,35.523383
64,0.63,36.096341,1,-1.3346439e-14,940696.33,36.096341
65,0.64,36.669299,1,-1.3346439e-14,930696.33,36.669299
66,0.65,37.242257,1,-1.3346439e-14,920696.33,37.242257
67,0.66,37.815214,1,-1.3346439e-14,910696.33,37.815214
68,0.67,38.388172,1,-1.3346439e-14,900696.33,38.388172
69,0.68,38.96113,1,-1.3346439e-14,890696.33,38.96113
70,0.69,39.534088,1,-1.3346439e-14,880696.33,39.534088
71,0.7,40.107046,1,-1.3346439e-14,870696.33,40.107046
72,0.71,40.680003,1,-1.5015043e-14,860696.33,40.680003
73,0.72,41.252961,1,-1.5015043e-14,850696.33,41.252961
74,0.73,41.825919,1,-1.3346415e-14,840696.33,41.825919
75,0.74,42.398877,1,-1.3346415e-14,830696.33,42.398877
76,0.75,42.971835,1,-1.3346415e-14,820696.33,42.971835
77,0.76,43.544792,1,-1.3346415e-14,810696.33,43.544792
78,0.77,44.11775,1,-1.3346415e-14,800696.33,44.11775
79,0.78,44.690708,1,-1.3346415e-14,790696.33,44.690708
80,0.79,45.263666,1,-1.3346415e-14,780696.33,45.263666
81,0.8,45.836624,1,-1.1677702e-14,770696.33,45.836624
82,0.81,46.409581,1,-1.1677702e-14,760696.33,46.409581
83,0.82,46.982539,1,-1.1677702e-14,750696.33,46.982539
84,0.83,47.555497,1,-1.1677702e-14,740696.33,47.555497
85,0.84,48.128455,1,-1.1677702e-14,730696.33,48.128455
86,0.85,48.701413,1,-1.1677702e-14,720696.33,48.701413
87,0.86,49.27437,1,-1.000892e-14,710696.33,49.27437
88,0.87,49.847328,1,-1.000892e-14,700696.33,49.847328
89,0.88,50.420286,1,-1.000892e-14,690696.33,50.420286
90,0.89,50.993244,1,-1.1677737e-14,680696.33,50.993244
91,0.9,51.566202,1,-1.1677737e-14,670696.33,51.566202
92,0.91,52.139159,1,-1.1677737e-14,660696.33,52.139159
93,0.92,52.712117,1,-1.1677737e-14,650696.33,52.712117
94,0.93,53.285075,1,-1.1677737e-14,640696.33,53.285075
95,0.94,53.858033,1,-1.3346608e-14,630696.33,53.858033
96,0.95,54.430991,1,-1.3346608e-14,620696.33,54.430991
97,0.96,55.003948,1,-1.1677715e-14,610696.33,55.003948
98,0.97,55.576906,1,-1.1677715e-14,600696.33,55.576906
99,0.98,56.149864,1,-1.334663e-14,590696.33,56.149864
100,0.99,56.722822,1,-1.334663e-14,580696.33,56.722822
101,1,57.29578,1,-1.334663e-14,570696.33,57.29578
