No,TIME,Pos_PSI@Body1,Vel_RZ@Body1,Acc_RZ@Body1,TZ_RSDA@RotationalSpring1,Pos1_Relative@RevJoint1
1,0,0,0,-16.366363,157.07963,0
2,0.01,-0.046829208,-0.16336141,-16.308581,173.49751,-0.046829208
3,0.02,-0.18706217,-0.32603213,-16.247181,190.00933,-0.18706217
4,0.03,-0.42026,-0.48789638,-16.175524,206.60276,-0.42026
5,0.04,-0.74591435,-0.64883304,-16.094521,223.2648,-0.74591435
6,0.05,-1.1633323,-0.80861734,-16.017127,239.97176,-1.1633323
7,0.06,-1.6719517,-0.96729682,-15.917675,256.72742,-1.6719517
8,0.07,-2.2711021,-1.1247178,-15.800622,273.51523,-2.2711021
9,0.08,-2.9600227,-1.2807327,-15.667867,290.31911,-2.9600227
10,0.09,-3.7378663,-1.4351931,-15.519983,307.12275,-3.7378663
11,0.1,-4.6036982,-1.5879458,-15.356843,323.90918,-4.6036982
12,0.11,-5.5564931,-1.7388305,-15.177929,340.6606,-5.5564931
13,0.12,-6.5951315,-1.8876785,-14.982508,357.35816,-6.5951315
14,0.13,-7.7183941,-2.0343116,-14.76971,373.98193,-7.7183941
15,0.14,-8.9249567,-2.1785419,-14.538587,390.51081,-8.9249567
16,0.15,-10.213384,-2.3201711,-14.288143,406.92246,-10.213384
17,0.16,-11.582125,-2.4589908,-14.017363,423.19334,-11.582125
18,0.17,-13.029506,-2.5947825,-13.725231,439.29866,-13.029506
19,0.18,-14.553725,-2.7273176,-13.410751,455.21243,-14.553725
20,0.19,-16.152847,-2.8563584,-13.072971,470.90751,-16.152847
21,0.2,-17.824797,-2.9816585,-12.710998,486.35562,-17.824797
22,0.21,-19.567359,-3.1029639,-12.324024,501.5275,-19.567359
23,0.22,-21.378167,-3.2200138,-11.911339,516.39296,-21.378167
24,0.23,-23.254707,-3.3325426,-11.472361,530.92101,-23.254707
25,0.24,-25.194311,-3.4402805,-11.006647,545.08005,-25.194311
26,0.25,-27.194155,-3.542956,-10.513921,558.83799,-27.194155
27,0.26,-29.251261,-3.6402977,-9.9940829,572.16248,-29.251261
28,0.27,-31.362496,-3.7320358,-9.4472335,585.02109,-31.362496
29,0.28,-33.524573,-3.8179048,-8.8736834,597.38154,-33.524573
30,0.29,-35.734057,-3.8976459,-8.273967,609.21192,-35.734057
31,0.3,-37.987365,-3.9710089,-7.6488508,620.48098,-37.987365
32,0.31,-40.280776,-4.0377547,-6.9993392,631.15832,-40.280776
33,0.32,-42.610437,-4.0976581,-6.3266762,641.21469,-42.610437
34,0.33,-44.972368,-4.1505099,-5.6323435,650.62221,-44.972368
35,0.34,-47.362478,-4.196119,-4.9180538,659.35465,-47.362478
36,0.35,-49.776571,-4.2343148,-4.1857409,667.38762,-49.776571
37,0.36,-52.210359,-4.2649493,-3.4375448,674.69883,-52.210359
38,0.37,-54.659478,-4.2878985,-2.6757928,681.26827,-54.659478
39,0.38,-57.1195,-4.3030642,-1.9029775,687.07839,-57.1195
40,0.39,-59.58595,-4.3103752,-1.1217305,692.11426,-59.58595
41,0.4,-62.054318,-4.3097885,-0.33479424,696.3637,-62.054318
42,0.41,-64.520079,-4.3012894,0.45500972,699.81735,-64.520079
43,0.42,-66.978707,-4.2848922,1.2448129,702.46875,-66.978707
44,0.43,-69.425695,-4.2606403,2.0317338,704.31436,-69.425695
45,0.44,-71.856565,-4.2286053,2.8129115,705.35353,-71.856565
46,0.45,-74.266893,-4.1888868,3.5855392,705.58849,-74.266893
47,0.46,-76.652314,-4.141611,4.3468959,705.02426,-76.652314
48,0.47,-79.008547,-4.0869299,5.0943767,703.66855,-79.008547
49,0.48,-81.331401,-4.0250189,5.8255196,701.5316,-81.331401
50,0.49,-83.616796,-3.9560761,6.5380305,698.62608,-83.616796
51,0.5,-85.860767,-3.8803192,7.2298029,694.96686,-85.860767
52,0.51,-88.059481,-3.7979842,7.8989355,690.57084,-88.059481
53,0.52,-90.209242,-3.7093227,8.5437442,685.45673,-90.209242
54,0.53,-92.306504,-3.6145999,9.1627709,679.64486,-92.306504
55,0.54,-94.347876,-3.5140919,9.7547873,673.15693,-94.347876
56,0.55,-96.330126,-3.4080839,10.318796,666.01581,-96.330126
57,0.56,-98.250186,-3.2968675,10.854026,658.24531,-98.250186
58,0.57,-100.10516,-3.1807387,11.359925,649.86997,-100.10516
59,0.58,-101.89232,-3.0599961,11.836154,640.91488,-101.89232
60,0.59,-103.6091,-2.9349383,12.282566,631.40546,-103.6091
61,0.6,-105.25312,-2.8058632,12.699198,621.3673,-105.25312
62,0.61,-106.82216,-2.6730654,13.086251,610.82602,-106.82216
63,0.62,-108.31418,-2.5368356,13.444074,599.80709,-108.31418
64,0.63,-109.72728,-2.3974588,13.773141,588.33574,-109.72728
65,0.64,-111.05974,-2.255214,14.074034,576.43684,-111.05974
66,0.65,-112.31,-2.1103729,14.347422,564.13484,-112.31
67,0.66,-113.47663,-1.9631993,14.594042,551.45366,-113.47663
68,0.67,-114.55839,-1.8139493,14.814682,538.41668,-114.55839
69,0.68,-115.55415,-1.6628704,15.010156,525.0467,-115.55415
70,0.69,-116.46292,-1.5102017,15.181296,511.36595,-116.46292
71,0.7,-117.28387,-1.3561743,15.328927,497.39602,-117.28387
72,0.71,-118.01627,-1.2010111,15.453858,483.15798,-118.01627
73,0.72,-118.65953,-1.0449274,15.556866,468.67232,-118.65953
74,0.73,-119.2132,-0.8881314,15.638687,453.95905,-119.2132
75,0.74,-119.6769,-0.73082485,15.699999,439.03772,-119.6769
76,0.75,-120.05042,-0.57320354,15.74142,423.9275,-120.05042
77,0.76,-120.33362,-0.41545818,15.763497,408.64724,-120.33362
78,0.77,-120.52648,-0.25777515,15.766701,393.21555,-120.52648
79,0.78,-120.6291,-0.10033733,15.751422,377.65086,-120.6291
80,0.79,-120.64165,0.05667504,15.717965,361.97154,-120.64165
81,0.8,-120.56445,0.2130835,15.666552,346.19594,-120.56445
82,0.81,-120.39787,0.36871051,15.597318,330.34251,-120.39787
83,0.82,-120.14243,0.52337862,15.510314,314.42988,-120.14243
84,0.83,-119.79873,0.67690966,15.405507,298.47689,-119.79873
85,0.84,-119.36746,0.82912398,15.28279,282.50275,-119.36746
86,0.85,-118.84943,0.97983971,15.141979,266.52705,-118.84943
87,0.86,-118.24555,1.1288722,14.982824,250.56984,-118.24555
88,0.87,-117.55685,1.2760333,14.805018,234.65172,-117.55685
89,0.88,-116.78446,1.4211312,14.6082,218.79384,-116.78446
90,0.89,-115.9296,1.5639698,14.391969,203.01797,-115.9296
91,0.9,-114.99363,1.7043484,14.155895,187.34655,-114.99363
92,0.91,-113.97803,1.8420618,13.899528,171.80264,-113.97803
93,0.92,-112.88437,1.9769003,13.622412,156.41,-112.88437
94,0.93,-111.71437,2.1086498,13.324099,141.19302,-111.71437
95,0.94,-110.46987,2.2370917,13.004164,126.17676,-110.46987
96,0.95,-109.15282,2.3620041,12.662215,111.38682,-109.15282
97,0.96,-107.7653,2.4831618,12.297914,96.849387,-107.7653
98,0.97,-106.30954,2.600337,11.910988,82.59108,-106.30954
99,0.98,-104.78788,2.7133007,11.501245,68.638913,-104.78788
100,0.99,-103.2028,2.8218233,11.068588,55.020173,-103.2028
101,1,-101.55692,2.9256758,10.613031,41.762311,-101.55692
