No,TIME,Pos_PSI@Body1,Vel_RZ@Body1,Acc_RZ@Body1,TZ_RSDA@RotationalSpring1,Pos1_Relative@RevJoint1
1,0,0,0,-16.90685,0.33841781,0
2,0.01,-0.048375849,-0.16875728,-16.847415,17.214327,-0.048375849
3,0.02,-0.19324208,-0.33680704,-16.78467,34.019848,-0.19324208
4,0.03,-0.43415059,-0.50403555,-16.711779,50.743605,-0.43415059
5,0.04,-0.77058506,-0.67032342,-16.629665,67.373657,-0.77058506
6,0.05,-1.2018443,-0.83544639,-16.55142,83.887576,-1.2018443
7,0.06,-1.7273609,-0.99945473,-16.451029,100.29039,-1.7273609
8,0.07,-2.3464588,-1.1621947,-16.333008,116.56671,-2.3464588
9,0.08,-3.0583716,-1.3235185,-16.199256,132.70177,-3.0583716
10,0.09,-3.8622459,-1.4832769,-16.050313,148.68063,-3.8622459
11,0.1,-4.7571403,-1.6413153,-15.885998,164.48784,-4.7571403
12,0.11,-5.7420219,-1.7974713,-15.705732,180.10714,-5.7420219
13,0.12,-6.8157618,-1.9515732,-15.508705,195.52137,-6.8157618
14,0.13,-7.9771297,-2.1034392,-15.293967,210.71233,-7.9771297
15,0.14,-9.2247878,-2.2528767,-15.060487,225.66077,-9.2247878
16,0.15,-10.557285,-2.399682,-14.807182,240.34631,-10.557285
17,0.16,-11.97305,-2.5436403,-14.532946,254.74747,-11.97305
18,0.17,-13.470384,-2.6845257,-14.236676,268.84164,-13.470384
19,0.18,-15.047459,-2.8221016,-13.917289,282.60516,-15.047459
20,0.19,-16.702306,-2.9561214,-13.573749,296.01336,-16.702306
21,0.2,-18.432813,-3.0863289,-13.205085,309.04062,-18.432813
22,0.21,-20.236717,-3.2124598,-12.810416,321.66049,-20.236717
23,0.22,-22.111606,-3.3342423,-12.388973,333.84579,-22.111606
24,0.23,-24.054906,-3.4513992,-11.940119,345.56879,-24.054906
25,0.24,-26.063886,-3.5636492,-11.463375,356.80134,-26.063886
26,0.25,-28.135654,-3.6707089,-10.958438,367.5151,-28.135654
27,0.26,-30.267154,-3.7722948,-10.425203,377.6817,-30.267154
28,0.27,-32.455169,-3.8681254,-9.8637778,387.273,-32.455169
29,0.28,-34.696323,-3.9579241,-9.2745023,396.26129,-34.696323
30,0.29,-36.987083,-4.0414209,-8.6579586,404.61959,-36.987083
31,0.3,-39.323766,-4.1183559,-8.0149815,412.32187,-39.323766
32,0.31,-41.702542,-4.1884809,-7.3466639,419.34332,-41.702542
33,0.32,-44.119445,-4.251563,-6.6543581,425.66061,-44.119445
