No,TIME,Pos_PSI@Body1,Vel_RZ@Body1,Acc_RZ@Body1,TZ_RSDA@RotationalSpring1,Pos1_Relative@RevJoint1
1,0,0,1,0,33841681,0
2,0.01,0.5729578,1,5.0301111e-15,33626238,0.5729578
3,0.02,1.1459156,1,5.0301111e-15,33410794,1.1459156
4,0.03,1.7188734,1,5.0301111e-15,33195351,1.7188734
5,0.04,2.2918312,1,5.0301111e-15,32979907,2.2918312
6,0.05,2.864789,1,5.0301111e-15,32764464,2.864789
7,0.06,3.4377468,1,1.8326326e-14,32549020,3.4377468
8,0.07,4.0107046,1,1.8326326e-14,32333577,4.0107046
9,0.08,4.5836624,1,1.8326326e-14,32118133,4.5836624
10,0.09,5.1566202,1,1.8326326e-14,31902690,5.1566202
11,0.1,5.729578,1,-1.146368e-13,31687246,5.729578
12,0.11,6.3025357,1,1.8326573e-14,31471803,6.3025357
13,0.12,6.8754935,1,1.8326573e-14,31256359,6.8754935
14,0.13,7.4484513,1,1.8326573e-14,31040916,7.4484513
15,0.14,8.0214091,1,1.8326573e-14,30825472,8.0214091
16,0.15,8.5943669,1,5.0301359e-15,30610029,8.5943669
17,0.16,9.1673247,1,5.0301359e-15,30394585,9.1673247
18,0.17,9.7402825,1,5.0301359e-15,30179142,9.7402825
19,0.18,10.31324,1,5.0301359e-15,29963699,10.31324
20,0.19,10.886198,1,5.0301359e-15,29748255,10.886198
21,0.2,11.459156,1,5.0301359e-15,29532812,11.459156
22,0.21,12.032114,1,5.0301359e-15,29317368,12.032114
23,0.22,12.605071,1,5.0301359e-15,29101925,12.605071
24,0.23,13.178029,1,5.0301359e-15,28886481,13.178029
25,0.24,13.750987,1,5.0301359e-15,28671038,13.750987
26,0.25,14.323945,1,5.0301359e-15,28455594,14.323945
27,0.26,14.896903,1,5.0301359e-15,28240151,14.896903
28,0.27,15.46986,1,5.0301359e-15,28024707,15.46986
29,0.28,16.042818,1,5.0301359e-15,27809264,16.042818
30,0.29,16.615776,1,1.8326927e-14,27593820,16.615776
31,0.3,17.188734,1,1.8326927e-14,27378377,17.188734
32,0.31,17.761692,1,1.8326927e-14,27162933,17.761692
33,0.32,18.334649,1,1.8326927e-14,26947490,18.334649
34,0.33,18.907607,1,5.0300335e-15,26732046,18.907607
35,0.34,19.480565,1,5.0300335e-15,26516603,19.480565
36,0.35,20.053523,1,5.0300335e-15,26301160,20.053523
37,0.36,20.626481,1,5.0300335e-15,26085716,20.626481
38,0.37,21.199438,1,5.0300335e-15,25870273,21.199438
39,0.38,21.772396,1,5.0300335e-15,25654829,21.772396
40,0.39,22.345354,1,1.8327081e-14,25439386,22.345354
41,0.4,22.918312,1,1.8327081e-14,25223942,22.918312
42,0.41,23.49127,1,3.1624181e-14,25008499,23.49127
43,0.42,24.064227,1,3.1624181e-14,24793055,24.064227
44,0.43,24.637185,1,3.1624181e-14,24577612,24.637185
45,0.44,25.210143,1,-5.2685722e-13,24362168,25.210143
46,0.45,25.783101,1,1.8328055e-14,24146725,25.783101
47,0.46,26.356059,1,5.0308272e-15,23931281,26.356059
48,0.47,26.929016,1,5.0308272e-15,23715838,26.929016
49,0.48,27.501974,1,1.8328106e-14,23500394,27.501974
50,0.49,28.074932,1,5.0308017e-15,23284951,28.074932
51,0.5,28.64789,1,-8.2665278e-15,23069508,28.64789
52,0.51,29.220848,1,-8.2665278e-15,22854064,29.220848
53,0.52,29.793805,1,-8.2665278e-15,22638621,29.793805
54,0.53,30.366763,1,-8.2665278e-15,22423177,30.366763
55,0.54,30.939721,1,-8.2665278e-15,22207734,30.939721
56,0.55,31.512679,1,-8.2665278e-15,21992290,31.512679
57,0.56,32.085637,1,-8.2665278e-15,21776847,32.085637
58,0.57,32.658594,1,-8.2665278e-15,21561403,32.658594
59,0.58,33.231552,1,-8.2665278e-15,21345960,33.231552
60,0.59,33.80451,1,5.0310295e-15,21130516,33.80451
61,0.6,34.377468,1,5.0310295e-15,20915073,34.377468
62,0.61,34.950426,1,-8.2665779e-15,20699629,34.950426
63,0.62,35.523383,1,-8.2665779e-15,20484186,35.523383
64,0.63,36.096341,1,-8.2665779e-15,20268742,36.096341
65,0.64,36.669299,1,-8.2665779e-15,20053299,36.669299
66,0.65,37.242257,1,-2.1564285e-14,19837855,37.242257
67,0.66,37.815214,1,-2.1564285e-14,19622412,37.815214
68,0.67,38.388172,1,-2.1564285e-14,19406969,38.388172
69,0.68,38.96113,1,-3.4862066e-14,19191525,38.96113
70,0.69,39.534088,1,-3.4862066e-14,18976082,39.534088
71,0.7,40.107046,1,-3.4862066e-14,18760638,40.107046
72,0.71,40.680003,1,-4.815992e-14,18545195,40.680003
73,0.72,41.252961,1,1.055564e-12,18329751,41.252961
74,0.73,41.825919,1,-6.1459828e-14,18114308,41.825919
75,0.74,42.398877,1,-6.1459828e-14,17898864,42.398877
76,0.75,42.971835,1,-4.8161877e-14,17683421,42.971835
77,0.76,43.544792,1,-4.8161877e-14,17467977,43.544792
78,0.77,44.11775,1,-4.8161877e-14,17252534,44.11775
79,0.78,44.690708,1,-4.8161877e-14,17037090,44.690708
80,0.79,45.263666,1,-4.8161877e-14,16821647,45.263666
81,0.8,45.836624,1,-4.8161877e-14,16606203,45.836624
82,0.81,46.409581,1,-4.8161877e-14,16390760,46.409581
83,0.82,46.982539,1,-4.8161877e-14,16175317,46.982539
84,0.83,47.555497,1,-4.8161877e-14,15959873,47.555497
85,0.84,48.128455,1,-4.8161877e-14,15744430,48.128455
86,0.85,48.701413,1,-4.8161877e-14,15528986,48.701413
87,0.86,49.27437,1,-4.8161877e-14,15313543,49.27437
88,0.87,49.847328,1,-4.8161877e-14,15098099,49.847328
89,0.88,50.420286,1,-4.8161877e-14,14882656,50.420286
90,0.89,50.993244,1,-4.8161877e-14,14667212,50.993244
91,0.9,51.566202,1,-4.8161877e-14,14451769,51.566202
92,0.91,52.139159,1,-4.8161877e-14,14236325,52.139159
93,0.92,52.712117,1,-4.8161877e-14,14020882,52.712117
94,0.93,53.285075,1,-4.8161877e-14,13805438,53.285075
95,0.94,53.858033,1,-6.1460263e-14,13589995,53.858033
96,0.95,54.430991,1,1.0423076e-12,13374551,54.430991
97,0.96,55.003948,1,-6.1462052e-14,13159108,55.003948
98,0.97,55.576906,1,-6.1462052e-14,12943664,55.576906
99,0.98,56.149864,1,-7.4760524e-14,12728221,56.149864
100,0.99,56.722822,1,-7.4760524e-14,12512778,56.722822
