No,TIME,Pos_PSI@Body1,Vel_RZ@Body1,Acc_RZ@Body1,TZ_RSDA@RotationalSpring1,Pos1_Relative@RevJoint1
1,0,0,0,234.50545,72909.907,0
2,0.01,0.67008419,2.3344374,232.03536,72133.621,0.67008419
3,0.02,2.6654657,4.620645,226.7917,70288.522,2.6654657
4,0.03,5.9459963,6.8199815,218.58816,67410.997,5.9459963
5,0.04,10.44925,8.8960788,207.66196,63555.256,10.44925
6,0.05,16.075349,10.800209,196.16269,58807.083,16.075349
7,0.06,22.73716,12.53088,180.76562,53237.217,22.73716
8,0.07,30.328874,14.061536,162.29896,46934.027,30.328874
9,0.08,38.730743,15.37102,141.39854,39996.64,38.730743
10,0.09,47.812178,16.443128,118.60674,32532.467,47.812178
11,0.1,57.434551,17.266267,94.411525,24654.971,57.434551
12,0.11,67.453742,17.833076,69.257726,16481.643,67.453742
13,0.12,77.722444,18.140005,43.547861,8132.1713,77.722444
14,0.13,88.092226,18.186892,17.641757,-273.18193,88.092226
15,0.14,98.415365,17.976574,-8.1405847,-8615.0295,98.415365
16,0.15,108.5465,17.514602,-33.511694,-16776.164,108.5465
17,0.16,118.34413,16.809072,-58.205902,-24642.775,118.34413
18,0.17,127.67213,15.870589,-81.967496,-32105.631,127.67213
19,0.18,136.40115,14.712319,-104.54047,-39061.275,136.40115
20,0.19,144.41019,13.35009,-125.66213,-45413.251,144.41019
21,0.2,151.58808,11.802472,-145.06187,-51073.37,151.58808
22,0.21,157.83511,10.090801,-162.46536,-55962.987,157.83511
23,0.22,163.06455,8.2390807,-177.60316,-60014.238,163.06455
24,0.23,167.2041,6.2737616,-190.22233,-63171.195,167.2041
25,0.24,170.19716,4.2233851,-200.09921,-65390.868,170.19716
26,0.25,172.00391,2.1181065,-207.05164,-66644.002,172.00391
27,0.26,172.602,-0.010875904,-210.94937,-66915.626,172.602
28,0.27,171.98702,-2.1319545,-211.7217,-66205.315,171.98702
29,0.28,170.17248,-4.213773,-209.3618,-64527.159,170.17248
30,0.29,167.18953,-6.2258766,-203.9275,-61909.426,167.18953
31,0.3,163.08622,-8.1393162,-195.53848,-58393.951,163.08622
32,0.31,157.92655,-9.9271727,-184.36992,-54035.265,157.92655
33,0.32,151.78917,-11.564972,-170.64324,-48899.528,151.78917
34,0.33,144.76591,-13.030971,-154.61438,-43063.315,144.76591
35,0.34,136.96021,-14.306314,-136.56096,-36612.309,136.96021
36,0.35,128.48547,-15.375056,-116.7698,-29639.964,128.48547
37,0.36,119.46341,-16.224103,-95.526418,-22246.195,119.46341
38,0.37,110.02247,-16.843093,-73.108098,-14536.094,110.02247
39,0.38,100.2963,-17.224278,-49.781703,-6618.7071,100.2963
40,0.39,90.422269,-17.362464,-25.80633,1394.1622,90.422269
41,0.4,80.539988,-17.255034,-1.4400778,9389.1542,80.539988
42,0.41,70.789779,-16.90207,23.05085,17252.6,70.789779
43,0.42,61.311056,-16.306578,47.383087,24871.861,61.311056
44,0.43,52.240562,-15.474751,71.24953,32136.776,52.240562
45,0.44,43.710466,-14.416241,94.317198,38941.242,43.710466
46,0.45,35.846321,-13.144369,116.23051,45184.878,35.846321
47,0.46,28.764951,-11.676224,136.61985,50774.753,28.764951
48,0.47,22.57232,-10.032608,155.1143,55627.104,22.57232
49,0.48,17.361491,-8.2378284,171.35677,59668.971,17.361491
50,0.49,13.210746,-6.3193187,185.01957,62839.68,13.210746
51,0.5,10.181961,-4.3071329,195.81891,65092.111,10.181961
52,0.51,8.3192993,-2.2333223,203.52701,66393.691,8.3192993
53,0.52,7.6482831,-0.13123743,207.98133,66727.079,7.6482831
54,0.53,8.1752694,1.9652189,209.09087,66090.517,8.1752694
55,0.54,9.8873586,4.0223566,206.83947,64497.822,9.8873586
56,0.55,12.752734,6.0074567,201.2865,61978.043,12.752734
57,0.56,16.721425,7.8894953,192.56474,58574.763,16.721425
58,0.57,21.726456,9.6398055,180.87559,54345.105,21.726456
59,0.58,27.685355,11.232647,166.48131,49358.457,27.685355
60,0.59,34.501939,12.645656,149.69435,43694.972,34.501939
61,0.6,42.06832,13.860146,130.86413,37443.922,42.06832
62,0.61,50.267028,14.861256,110.36202,30701.955,50.267028
63,0.62,58.973182,15.637935,88.565946,23571.344,58.973182
64,0.63,68.056608,16.182799,65.846283,16158.283,68.056608
65,0.64,77.383854,16.491889,42.554742,8571.2785,77.383854
66,0.65,86.820063,16.56438,19.017638,919.66141,86.820063
67,0.66,96.230684,16.402303,-4.4659189,-6687.7699,96.230684
68,0.67,105.48305,16.010314,-27.621231,-14144.004,105.48305
69,0.68,114.44783,15.395541,-50.19191,-21344.989,114.44783
70,0.69,123.00047,14.567516,-71.932323,-28190.769,123.00047
71,0.7,131.02255,13.538168,-92.600648,-34586.602,131.02255
72,0.71,138.40318,12.321857,-111.95431,-40444.093,138.40318
73,0.72,145.04041,10.935395,-129.74891,-45682.328,145.04041
74,0.73,150.8426,9.3980245,-145.74098,-50229.002,150.8426
75,0.74,155.7298,7.7313167,-159.69418,-54021.508,155.7298
76,0.75,159.63503,5.95897,-171.38784,-57007.938,159.63503
77,0.76,162.50535,4.1065078,-180.62676,-59147.962,162.50535
78,0.77,164.30279,2.2008792,-187.25082,-60413.527,164.30279
79,0.78,165.00506,0.26998169,-191.14344,-60789.356,165.00506
80,0.79,164.6059,-1.6578711,-192.238,-60273.2,164.6059
81,0.8,163.11512,-3.5545066,-190.5217,-58875.843,163.11512
82,0.81,160.55843,-5.3924468,-186.03658,-56620.849,160.55843
83,0.82,156.97685,-7.1454279,-178.8776,-53544.075,156.97685
84,0.83,152.42589,-8.7888584,-169.1879,-49692.956,152.42589
85,0.84,146.97452,-10.300194,-157.15166,-45125.613,146.97452
86,0.85,140.7039,-11.659212,-142.98512,-39909.823,140.7039
87,0.86,133.70605,-12.848185,-126.92659,-34121.897,133.70605
88,0.87,126.08238,-13.851953,-109.22673,-27845.505,126.08238
89,0.88,117.94224,-14.657923,-90.140214,-21170.5,117.94224
90,0.89,109.40149,-15.256021,-69.919904,-14191.743,109.40149
91,0.9,100.58106,-15.638636,-48.814361,-7007.9571,100.58106
92,0.91,91.605528,-15.800597,-27.068858,279.4054,91.605528
93,0.92,82.601756,-15.739194,-4.929374,7567.3116,82.601756
94,0.93,73.697401,-15.454273,17.351595,14752.327,73.697401
95,0.94,65.019416,-14.948395,39.509046,21731.862,65.019416
96,0.95,56.692431,-14.227025,61.261021,28405.5,56.692431
97,0.96,48.837032,-13.298723,82.307159,34676.408,48.837032
98,0.97,41.567946,-12.175293,102.33108,40452.824,41.567946
99,0.98,34.992178,-10.871848,121.00669,45649.576,34.992178
100,0.99,29.207136,-9.4067636,138.00783,50189.588,29.207136
101,1,24.298834,-7.8015035,153.01995,54005.327,24.298834
